name,path,name_db,x,y,batch,epochs,layers,last_activation,loss,metrics
mod_FF_0250_01,/models/mod_FF_0250_01,FF16_0250,"[[""nref""]]","[[""E1"", ""E2"", ""E3""]]",256,1000000,"[[17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""]]",linear,msle,"[""mse"", ""mape""]"
mod_LH_0250_01,/models/mod_LH_0250_01,LH4000_0250,"[[""nref""]]","[[""E1"", ""E2"", ""E3""]]",256,1000000,"[[17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""]]",linear,msle,"[""mse"", ""mape""]"
mod_LH_0250_0203_01,/models/mod_LH_0250_0203_01,LH10000_0250_0203,"[[""nref""]]","[[""E"", ""nu""]]",256,1000000,"[[17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""]]",linear,msle,"[""mse"", ""mape""]"
mod_LH_0250_0304_01,/models/mod_LH_0250_0304_01,LH10000_0250_0304,"[[""nref""]]","[[""E"", ""nu""]]",256,1000000,"[[17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""]]",linear,msle,"[""mse"", ""mape""]"
mod_LH_0250_02,/models/mod_LH_0250_02,LH4000_0250,"[[""nref""]]","[[""E""]]",256,1000000,"[[17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""]]",linear,msle,"[""mse"", ""mape""]"
mod_LH_0250_03,/models/mod_LH_0250_03,LH4000_0250,"[[""nref""]]","[[""nE""]]",256,1000000,"[[17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""]]",linear,msle,"[""mape""]"
mod_FF_0520_01,/models/mod_FF_0520_01,FF16_0520,"[[""nref""]]","[[""E""]]",256,1000000,"[[17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""]]",linear,msle,"[""mape""]"
mod_LH_0250_04,/models/mod_LH_0250_04,LH4000_0250,"[[""tref""]]","[[""tE""]]",256,1000000,"[[17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""], [17, ""ctanh""]]",ctanh,msle,"[""mape""]"
mod_LH_0520_01,/models/mod_LH_0520_01,LH4000_0520,"[[""nref""]]","[[""E""]]",256,1000000,"[[17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""]]",linear,msle,"[""mape""]"
mod_LH12_0250_01,/models/mod_LH12_0250_01,LH12000_0250,"[[""nref""]]","[[""E""]]",256,1000000,"[[17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""], [17, ""tanh""]]",linear,msle,"[""mape""]"
